"filename", "language", "JavaScript", "XML", "CSS", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\RegisterModal\RegisterModal.js", "JavaScript", 109, 0, 0, 0, 0, 0, 7, 11, 127
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\ShoppingCart\ShoppingCart.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\ShoppingCart\ShoppingCart.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\SideBarMenu\SideBarMenu.css", "CSS", 0, 0, 49, 0, 0, 0, 0, 7, 56
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\SideBarMenu\SideBarMenu.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 10, 67
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\StillBuilding\StillBuilding.css", "CSS", 0, 0, 31, 0, 0, 0, 0, 6, 37
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\StillBuilding\StillBuilding.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\UserDropdownMenu\UserDropdownMenu.css", "CSS", 0, 0, 72, 0, 0, 0, 0, 11, 83
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\UserDropdownMenu\UserDropdownMenu.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\UserProfilePage\UserProfilePage.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\UserProfilePage\UserProfilePage.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\UserSidebarMenu\UserSidebarMenu.css", "CSS", 0, 0, 42, 0, 0, 0, 0, 6, 48
